,A.cervicornis,P.acuta,,
STAR_index_Time,0:02:58,0:03:17,,
STAR_index_Memory-Utilized,9.43 GB,10.22 GB,,
STAR_index_Memory-Efficiency,9.43% of 100.00 GB,10.22% of 100.00 GB,,
STAR_index_CPU-Utilized,0:08:19,0:11:06,,
STAR_index_CPU-Efficiency,14.02% of 00:59:20 core-walltime,16.90% of 01:05:40 core-walltime,,
STAR_align_Time,2:30:07,4:01:21,,
STAR_align_Memory-Utilized,6.48 GB, 5.38 GB,,
STAR_align_Memory-Efficiency,6.48% of 100.00 GB,5.38% of 100.00 GB,,
STAR_align_CPU-Utilized,13:07:45,22:15:55,,
STAR_align_CPU-Efficiency,26.24% of 2-02:02:20 core-walltime,27.68% of 3-08:27:00 core-walltime,,
Trinity_Time,5-02:10:07,4-08:25:29,,
Trinity_Memory-Utilized,64.02 GB,123.28 GB,,
Trinity_Memory-Efficiency,12.8% of 500.00 GB,24.66% of 500.00 GB,,
Trinity_CPU-Utilized,10-11:37:40,10-04:02:49,,
Trinity_CPU-Efficiency,5.72% of 183-06:04:12 core-walltime,6.49% of 156-15:17:24 core-walltime,,
Bowtie_index_Time,0:15:23,0:10:57,,
Bowtie_index_Memory-Utilized,746.56 MB,628.11 MB,,
Bowtie_index_Memory-Efficiency,0.15% of 500.00 GB,0.12% of 500.00 GB,,
Bowtie_index_CPU-Utilized,0:14:49,0:10:30,,
Bowtie_CPU-Efficiency,2.68% of 09:13:48 core-walltime,2.66% of 06:34:12 core-walltime,,
Bowtie_align_Time,4:34:59,4:54:21,,
Bowtie_align_Memory-Utilized,625.74 MB,540.55 MB,,
Bowtie_align_Memory-Efficiency,0.12% of 500.00 GB,0.11% of 500.00 GB,,
Bowtie_align_CPU-Utilized,4:18:58,4:38:35,,
Bowtie_align_CPU-Efficiency,2.62% of 6-20:59:24 core-walltime,2.63% of 7-08:36:36 core-walltime,,
Kallisto_index_Time,0:02:13,0:02:13,,
Kallisto_index_Memory-Utilized,1.65 GB,1.65 GB,,
Kallisto_index_Memory-Efficiency,0.33% of 500.00 GB,0.33% of 500.00 GB,,
Kallisto_index_CPU-Utilized,0:02:06,0:02:06,,
Kallisto_CPU-Efficiency,2.63% of 01:19:48 core-walltime,2.63% of 01:19:48 core-walltime,,
Kallisto_align_Time-50bp,0:19:34,0:20:34,,
Kallisto_align_Memory-Utilized-50bp,1.60 GB,1.62 GB,,
Kallisto_align_Memory-Efficiency-50bp,0.32% of 500.00 GB,0.32% of 500.00 GB,,
Kallisto_align_CPU-Utilized-50bp,0:17:16,0:18:49,,
Kallisto_align_CPU-Efficiency-50bp,2.45% of 11:44:24 core-walltime,2.54% of 12:20:24 core-walltime,,
Kallisto_align_Time-120bp,0:25:55,0:24:31,,
Kallisto_align_Memory-Utilized-120bp,1.60 GB,1.62 GB,,
Kallisto_align_Memory-Efficiency-120bp,0.32% of 500.00 GB,0.32% of 500.00 GB,,
Kallisto_align_CPU-Utilized-120bp,0:25:00,0:24:23,,
Kallisto_align_CPU-Efficiency-120bp,2.68% of 15:33:00 core-walltime,2.76% of 14:42:36 core-walltime,,